,work_year,experience_level,employment_type,job_title,salary,remote_ratio,company_location,company_size
62,2020,EN,PT,Data Scientist,21669,50,IT,S
63,2020,SE,FT,Data Scientist,412000,100,US,L
64,2020,SE,FT,Machine Learning Engineer,45618,100,HR,S
65,2020,EN,FT,Data Scientist,62726,50,DE,S
66,2020,EN,FT,Data Scientist,49268,0,DE,S
67,2020,SE,FT,Data Science Manager,190200,100,US,M
68,2020,EN,FT,Data Scientist,105000,100,US,S
69,2020,SE,FT,Data Scientist,91237,0,AT,S
70,2020,MI,FT,Data Scientist,62726,50,LU,S
71,2020,MI,FT,Data Scientist,42197,50,FR,S
72,2021,EN,FT,Research Scientist,82528,50,GB,L
73,2021,EX,FT,BI Data Analyst,150000,100,US,L
74,2021,EX,FT,Head of Data,235000,100,US,L
75,2021,SE,FT,Data Scientist,53192,50,FR,L
76,2021,MI,FT,BI Data Analyst,100000,100,US,M
77,2021,MI,PT,3D Computer Vision Researcher,5409,50,IN,M
78,2021,MI,CT,ML Engineer,270000,100,US,L
79,2021,EN,FT,Data Analyst,80000,100,US,M
80,2021,SE,FT,Data Analytics Engineer,79197,100,DE,L
81,2021,MI,FT,Data Engineer,140000,100,US,L
82,2021,MI,FT,Applied Data Scientist,54238,50,CA,L
83,2021,MI,FT,Machine Learning Engineer,47282,100,ES,S
84,2021,EX,FT,Director of Data Science,153667,100,PL,L
85,2021,MI,FT,Data Engineer,28476,100,PL,L
86,2021,EN,FT,Data Analyst,59102,50,FR,M
87,2021,MI,FT,Data Analytics Engineer,110000,100,US,L
88,2021,SE,FT,Lead Data Analyst,170000,100,US,L
89,2021,SE,FT,Data Analyst,80000,100,US,S
90,2021,SE,FT,Marketing Data Analyst,88654,100,DK,L
91,2021,EN,FT,Data Science Consultant,76833,100,DE,S
92,2021,MI,FT,Lead Data Analyst,19609,100,IN,L
93,2021,SE,FT,Lead Data Engineer,276000,0,US,L
94,2021,EN,FT,Data Scientist,29751,50,IN,L
95,2021,MI,FT,Cloud Data Engineer,89294,50,SG,L
96,2021,EN,PT,AI Scientist,12000,100,US,S
97,2021,MI,FT,Financial Data Analyst,450000,100,US,L
98,2021,EN,FT,Computer Vision Software Engineer,70000,100,US,M
99,2021,MI,FT,Computer Vision Software Engineer,95746,100,US,S
100,2021,MI,FT,Data Analyst,75000,0,US,L
101,2021,SE,FT,Data Engineer,150000,100,US,L
102,2021,MI,FT,BI Data Analyst,36259,50,US,L
103,2021,MI,FT,Data Analyst,62000,0,US,L
104,2021,MI,FT,Data Scientist,73000,0,US,L
105,2021,MI,FT,Data Analyst,51519,50,GB,L
106,2021,MI,FT,Research Scientist,187442,100,CA,L
107,2021,SE,FT,Data Engineer,115000,100,US,S
108,2021,SE,FT,Data Engineer,150000,100,US,M
109,2021,EN,FT,Data Engineer,30428,100,IN,L
110,2021,SE,FT,Machine Learning Engineer,94564,50,DE,L
111,2021,SE,FT,Director of Data Engineering,113476,100,GB,M
112,2021,SE,FT,Lead Data Engineer,103160,100,GB,S
113,2021,EN,PT,AI Scientist,12000,100,US,M
114,2021,MI,FT,Data Engineer,45391,100,NL,L
115,2021,EN,FT,Machine Learning Scientist,225000,100,US,L
116,2021,MI,FT,Data Scientist,50000,100,NG,L
117,2021,MI,FT,Data Science Engineer,40189,100,GR,M
118,2021,EN,FT,Data Analyst,90000,100,US,S
119,2021,MI,FT,Data Engineer,200000,100,US,L
120,2021,MI,FT,Big Data Engineer,60000,50,RO,M
121,2021,SE,FT,Principal Data Engineer,200000,100,US,M
122,2021,EN,FT,Data Analyst,50000,100,US,M
123,2021,EN,FT,Applied Data Scientist,110037,0,GB,L
124,2021,EN,PT,Data Analyst,10354,50,ES,M
125,2021,MI,FT,Principal Data Scientist,151000,100,US,L
126,2021,SE,FT,Machine Learning Scientist,120000,50,US,S
127,2021,MI,FT,Data Scientist,9466,0,IN,S
128,2021,EN,FT,Machine Learning Engineer,20000,100,IN,S
129,2021,SE,FT,Lead Data Scientist,40570,50,IN,L
130,2021,EN,FT,Machine Learning Developer,100000,50,IQ,S
131,2021,EN,FT,Data Scientist,49646,50,FR,M
132,2021,MI,FT,Applied Machine Learning Scientist,38400,100,US,M
133,2021,SE,FT,Computer Vision Engineer,24000,100,BR,M
134,2021,EN,FT,Data Scientist,100000,0,US,S
135,2021,MI,FT,Data Analyst,90000,100,US,M
136,2021,MI,FT,ML Engineer,63711,50,JP,S
137,2021,MI,FT,ML Engineer,77364,50,JP,S
138,2021,SE,FT,Principal Data Scientist,220000,0,US,L
139,2021,EN,FT,Data Scientist,80000,100,US,M
140,2021,MI,FT,Data Analyst,135000,100,US,L
141,2021,SE,FT,Data Science Manager,240000,0,US,L
142,2021,SE,FT,Data Engineering Manager,150000,0,US,L
143,2021,MI,FT,Data Scientist,82500,100,US,S
144,2021,MI,FT,Data Engineer,100000,100,US,L
145,2021,SE,FT,Machine Learning Engineer,82744,50,BE,M
146,2021,MI,FT,Research Scientist,62649,50,FR,M
147,2021,MI,FT,Data Engineer,90000,100,US,L
148,2021,SE,FT,Data Engineering Manager,153000,100,US,L
149,2021,SE,FT,Cloud Data Engineer,160000,100,US,S
150,2021,SE,FT,Director of Data Science,168000,0,JP,S
151,2021,MI,FT,Data Scientist,150000,100,US,M
152,2021,MI,FT,Data Scientist,75774,100,CA,L
153,2021,EN,FT,Data Scientist,13400,100,UA,L
154,2021,SE,FT,Data Science Manager,144000,100,US,L
155,2021,SE,FT,Data Science Engineer,127221,50,CA,L
156,2021,MI,FT,Data Scientist,119059,100,IL,M
157,2021,MI,FT,Applied Machine Learning Scientist,423000,50,US,L
158,2021,SE,FT,Data Analytics Manager,120000,100,US,M
159,2021,EN,FT,Machine Learning Engineer,125000,100,US,S
160,2021,EX,FT,Head of Data,230000,50,RU,L
161,2021,EX,FT,Head of Data Science,85000,0,RU,M
162,2021,MI,FT,Data Engineer,28369,50,MT,L
163,2021,EN,FT,Data Science Consultant,63831,50,DE,L
164,2021,EX,FT,Director of Data Science,130026,50,DE,M
165,2021,SE,FT,Data Specialist,165000,100,US,L
166,2021,EN,FT,Data Engineer,80000,100,US,L
167,2021,EX,FT,Director of Data Science,250000,0,US,L
168,2021,EN,FT,BI Data Analyst,55000,50,US,S
169,2021,MI,FT,Data Architect,150000,100,US,L
170,2021,MI,FT,Data Architect,170000,100,US,L
171,2021,MI,FT,Data Engineer,82528,100,GB,L
172,2021,EN,FT,Data Analyst,60000,100,US,S
173,2021,SE,FT,Principal Data Scientist,235000,100,US,L
174,2021,SE,FT,Research Scientist,60757,50,PT,L
175,2021,SE,FT,Data Engineering Manager,174000,100,US,L
176,2021,MI,FT,Data Scientist,2859,0,MX,S
177,2021,MI,FT,Data Scientist,40038,100,CL,L
178,2021,EN,FT,Machine Learning Engineer,81000,50,US,S
179,2021,MI,FT,Data Scientist,5679,100,US,S
180,2021,MI,FT,Big Data Engineer,22611,0,IN,L
181,2021,MI,FT,Data Scientist,90734,50,DE,L
182,2021,MI,FT,Data Engineer,26005,0,US,L
183,2021,SE,FT,Finance Data Analyst,61896,50,GB,L
184,2021,MI,FL,Machine Learning Scientist,12000,50,PK,M
185,2021,MI,FT,Data Engineer,4000,100,IR,M
186,2021,SE,FT,Data Analytics Engineer,50000,100,GB,M
187,2021,EX,FT,Data Science Consultant,69741,100,ES,S
188,2021,SE,FT,Data Engineer,76833,50,GB,S
189,2021,MI,FT,Machine Learning Engineer,74000,50,JP,S
190,2021,SE,FT,Data Science Manager,152000,100,FR,L
191,2021,EN,FT,Machine Learning Engineer,21844,50,CO,M
192,2021,MI,FT,Big Data Engineer,18000,0,MD,S
193,2021,SE,FT,Data Science Manager,174000,100,US,L
194,2021,SE,FT,Research Scientist,96113,50,CA,L
195,2021,MI,FT,Data Scientist,147000,50,US,L
196,2021,EN,FT,BI Data Analyst,9272,100,KE,S
197,2021,SE,FT,Machine Learning Engineer,24342,100,IN,L
198,2021,SE,FT,Data Science Manager,54094,50,US,L
199,2021,EN,FT,Data Science Consultant,90000,100,US,S
200,2021,MI,FT,Data Scientist,61467,50,AT,M
201,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,100,US,M
202,2021,MI,FT,Data Scientist,37825,100,ES,L
203,2021,SE,FT,Research Scientist,50000,100,US,S
204,2021,MI,FT,Data Scientist,160000,100,US,L
205,2021,MI,FT,Data Scientist,12901,0,BR,S
206,2021,SE,FT,Machine Learning Engineer,200000,100,US,L
207,2021,SE,FT,Data Engineer,165000,0,US,M
208,2021,MI,FL,Data Engineer,20000,0,US,L
209,2021,SE,FT,Data Analytics Manager,120000,0,US,L
210,2021,MI,FT,Machine Learning Engineer,24823,50,SI,L
211,2021,MI,FT,Research Scientist,56738,50,FR,S
212,2021,MI,FT,Data Engineer,66022,50,GB,S
213,2021,EN,FT,Big Data Engineer,5882,0,CH,L
214,2021,EN,FT,Machine Learning Engineer,24823,50,DE,M
215,2021,SE,FT,Principal Data Engineer,185000,100,US,L
216,2021,EN,PT,Computer Vision Engineer,28609,50,DK,S
217,2021,MI,FT,Data Scientist,90734,50,DE,L
218,2021,MI,FT,Machine Learning Engineer,88654,100,BE,M
219,2021,SE,FT,Data Analytics Manager,140000,100,US,L
220,2021,MI,FT,Machine Learning Engineer,46597,100,PL,L
221,2021,MI,FT,Data Scientist,116914,50,GB,L
222,2021,MI,FT,Data Scientist,33808,0,IN,M
223,2021,MI,FT,Data Scientist,56256,50,GB,L
224,2021,SE,FT,Machine Learning Scientist,225000,100,CA,L
225,2021,EX,CT,Principal Data Scientist,416000,100,US,S
226,2021,SE,FT,Data Scientist,87738,100,CA,S
227,2021,MI,FT,Data Scientist,88654,50,DE,L
228,2021,SE,FT,Data Scientist,135000,0,US,L
229,2021,SE,FT,Data Analyst,71786,100,CA,M
230,2021,EN,FT,Big Data Engineer,16228,100,IN,L
231,2021,SE,FT,ML Engineer,256000,100,US,S
232,2021,SE,FT,Director of Data Engineering,200000,100,US,L
233,2021,SE,FT,Data Analyst,200000,100,US,L
234,2021,MI,FT,Data Architect,180000,100,US,L
235,2021,MI,FT,Head of Data Science,110000,0,US,S
236,2021,MI,FT,Research Scientist,63810,100,CA,M
237,2021,MI,FT,Data Scientist,46809,100,ES,M
238,2021,EN,FT,Data Scientist,4000,0,VN,M
239,2021,EN,FT,Data Engineer,21637,50,IN,M
240,2021,SE,FT,Data Scientist,103691,100,CA,L
241,2021,MI,FT,Data Analyst,80000,100,US,L
242,2021,MI,FT,Data Engineer,110000,100,US,L
243,2021,SE,FT,Data Scientist,165000,100,US,L
244,2021,EN,FT,AI Scientist,18053,100,AS,S
245,2021,MI,FT,Data Engineer,72212,50,GB,L
246,2021,EN,FT,Data Scientist,36643,50,FR,L
247,2021,MI,FT,Data Engineer,12103,0,TR,M
248,2021,SE,FT,Data Engineer,96282,50,GB,L
249,2021,SE,FT,Principal Data Analyst,170000,100,US,M
250,2021,MI,FT,Data Scientist,115000,50,US,L
251,2021,EN,FT,Data Scientist,90000,100,US,S
252,2021,EX,FT,Principal Data Engineer,600000,100,US,L
253,2021,EN,FT,Data Scientist,28399,100,IN,M
254,2021,MI,FT,Data Analyst,93000,100,US,L
255,2021,SE,FT,Big Data Architect,99703,50,CA,M
256,2021,MI,FT,Data Engineer,200000,100,US,L
257,2021,SE,FT,Principal Data Scientist,173762,100,DE,M
258,2021,SE,FT,Machine Learning Engineer,185000,50,US,L
259,2021,EX,FT,Director of Data Science,141846,0,DE,L
260,2021,MI,FT,Data Scientist,130000,50,US,L
261,2021,SE,FT,Data Analyst,63831,50,DE,L
262,2021,MI,FT,Data Scientist,16904,100,IN,S
263,2021,SE,FT,Machine Learning Engineer,66265,0,IN,L
264,2021,MI,FT,Data Scientist,25532,100,DE,S
265,2021,SE,FT,Lead Data Engineer,160000,50,US,S
266,2021,MI,FT,Data Engineer,93150,0,US,M
267,2021,MI,FT,Data Engineer,111775,0,US,M
268,2021,MI,FT,Data Engineer,28016,100,TR,M
269,2021,EN,FT,Data Engineer,65013,50,DE,M
270,2021,EN,FT,Data Engineer,72500,100,US,L
271,2021,SE,FT,Computer Vision Engineer,18907,0,BR,M
272,2021,EN,FT,Data Science Consultant,76833,0,DE,L
273,2021,EN,FT,Machine Learning Engineer,85000,100,DE,S
274,2021,SE,FT,Data Scientist,77684,50,FR,M
275,2021,EN,FT,Data Scientist,100000,100,US,M
276,2021,EN,FT,Data Scientist,58000,50,US,L
277,2021,SE,FT,AI Scientist,55000,100,ES,L
278,2021,SE,FT,Data Scientist,20171,50,TR,L
279,2021,EN,FT,Business Data Analyst,59102,100,LU,L
280,2021,MI,FT,Data Engineer,112000,100,US,L
281,2021,EN,FT,Research Scientist,100000,0,CN,L
282,2021,MI,PT,Data Engineer,69741,100,NL,L
283,2021,SE,CT,Staff Data Scientist,105000,100,US,M
284,2021,MI,FT,Research Scientist,69999,50,CZ,L
285,2021,SE,FT,Data Science Manager,94665,50,IN,L
286,2021,SE,FT,Head of Data,102839,100,SI,L
287,2021,MI,FT,Data Scientist,109000,50,US,L
288,2021,MI,FT,Machine Learning Engineer,51064,50,IT,L
289,2022,SE,FT,Data Engineer,135000,100,US,M
290,2022,SE,FT,Data Analyst,155000,100,US,M
291,2022,SE,FT,Data Analyst,120600,100,US,M
292,2022,MI,FT,Data Scientist,130000,0,US,M
293,2022,MI,FT,Data Scientist,90000,0,US,M
294,2022,MI,FT,Data Engineer,170000,100,US,M
295,2022,MI,FT,Data Engineer,150000,100,US,M
296,2022,SE,FT,Data Analyst,102100,100,US,M
297,2022,SE,FT,Data Analyst,84900,100,US,M
298,2022,SE,FT,Data Scientist,136620,100,US,M
299,2022,SE,FT,Data Scientist,99360,100,US,M
300,2022,SE,FT,Data Scientist,117789,0,GB,M
301,2022,SE,FT,Data Scientist,104702,0,GB,M
302,2022,SE,FT,Data Scientist,146000,100,US,M
303,2022,SE,FT,Data Scientist,123000,100,US,M
304,2022,EN,FT,Data Engineer,52351,100,GB,M
305,2022,SE,FT,Data Analyst,99000,0,US,M
306,2022,SE,FT,Data Analyst,116000,0,US,M
307,2022,MI,FT,Data Analyst,106260,0,US,M
308,2022,MI,FT,Data Analyst,126500,0,US,M
309,2022,EX,FT,Data Engineer,242000,100,US,M
310,2022,EX,FT,Data Engineer,200000,100,US,M
311,2022,MI,FT,Data Scientist,65438,0,GB,M
312,2022,MI,FT,Data Scientist,39263,0,GB,M
313,2022,MI,FT,Data Engineer,78526,0,GB,M
314,2022,MI,FT,Data Engineer,52351,0,GB,M
315,2022,SE,FT,Data Scientist,165220,100,US,M
316,2022,EN,FT,Data Engineer,45807,100,GB,M
317,2022,SE,FT,Data Scientist,120160,100,US,M
318,2022,SE,FT,Data Analyst,90320,100,US,M
319,2022,SE,FT,Data Engineer,181940,0,US,M
320,2022,SE,FT,Data Engineer,132320,0,US,M
321,2022,SE,FT,Data Engineer,220110,0,US,M
322,2022,SE,FT,Data Engineer,160080,0,US,M
323,2022,SE,FT,Data Scientist,180000,0,US,L
324,2022,SE,FT,Data Scientist,120000,0,US,L
325,2022,SE,FT,Data Analyst,124190,100,US,M
326,2022,EX,FT,Data Analyst,130000,100,US,M
327,2022,EX,FT,Data Analyst,110000,100,US,M
328,2022,SE,FT,Data Analyst,170000,100,US,M
329,2022,MI,FT,Data Analyst,115500,100,US,M
330,2022,SE,FT,Data Analyst,112900,100,US,M
331,2022,SE,FT,Data Analyst,90320,100,US,M
332,2022,SE,FT,Data Analyst,112900,100,US,M
333,2022,SE,FT,Data Analyst,90320,100,US,M
334,2022,SE,FT,Data Engineer,165400,100,US,M
335,2022,SE,FT,Data Engineer,132320,100,US,M
336,2022,MI,FT,Data Analyst,167000,100,US,M
337,2022,SE,FT,Data Engineer,243900,100,US,M
338,2022,SE,FT,Data Analyst,136600,100,US,M
339,2022,SE,FT,Data Analyst,109280,100,US,M
340,2022,SE,FT,Data Engineer,128875,100,US,M
341,2022,SE,FT,Data Engineer,93700,100,US,M
342,2022,EX,FT,Head of Data Science,224000,100,US,M
343,2022,EX,FT,Head of Data Science,167875,100,US,M
344,2022,EX,FT,Analytics Engineer,175000,100,US,M
345,2022,SE,FT,Data Engineer,156600,100,US,M
346,2022,SE,FT,Data Engineer,108800,0,US,M
347,2022,SE,FT,Data Scientist,95550,0,US,M
348,2022,SE,FT,Data Engineer,113000,0,US,L
349,2022,SE,FT,Data Analyst,135000,100,US,M
350,2022,SE,FT,Data Science Manager,161342,100,US,M
351,2022,SE,FT,Data Science Manager,137141,100,US,M
352,2022,SE,FT,Data Scientist,167000,100,US,M
353,2022,SE,FT,Data Scientist,123000,100,US,M
354,2022,SE,FT,Data Engineer,78526,0,GB,M
355,2022,SE,FT,Data Engineer,65438,0,GB,M
356,2022,SE,FT,Data Scientist,150000,0,US,M
357,2022,SE,FT,Data Scientist,211500,100,US,M
358,2022,SE,FT,Data Architect,192400,100,CA,M
359,2022,SE,FT,Data Architect,90700,100,CA,M
360,2022,SE,FT,Data Analyst,130000,100,CA,M
361,2022,SE,FT,Data Analyst,61300,100,CA,M
362,2022,SE,FT,Data Analyst,130000,100,CA,M
363,2022,SE,FT,Data Analyst,61300,100,CA,M
364,2022,SE,FT,Data Engineer,160000,0,US,L
365,2022,SE,FT,Data Scientist,138600,100,US,M
366,2022,SE,FT,Data Engineer,136000,0,US,M
367,2022,MI,FT,Data Analyst,58000,0,US,S
368,2022,EX,FT,Analytics Engineer,135000,100,US,M
369,2022,SE,FT,Data Scientist,170000,100,US,M
370,2022,SE,FT,Data Scientist,123000,100,US,M
371,2022,SE,FT,Machine Learning Engineer,189650,0,US,M
372,2022,SE,FT,Machine Learning Engineer,164996,0,US,M
373,2022,MI,FT,ETL Developer,54957,0,GR,M
374,2022,MI,FT,ETL Developer,54957,0,GR,M
375,2022,EX,FT,Lead Data Engineer,118187,100,CA,S
376,2022,SE,FT,Data Analyst,132000,0,US,M
377,2022,SE,FT,Data Engineer,165400,100,US,M
378,2022,SE,FT,Data Architect,208775,100,US,M
379,2022,SE,FT,Data Architect,147800,100,US,M
380,2022,SE,FT,Data Engineer,136994,100,US,M
381,2022,SE,FT,Data Engineer,101570,100,US,M
382,2022,SE,FT,Data Analyst,128875,100,US,M
383,2022,SE,FT,Data Analyst,93700,100,US,M
384,2022,EX,FT,Head of Machine Learning,79039,50,IN,L
385,2022,SE,FT,Data Engineer,132320,100,US,M
386,2022,EN,FT,Machine Learning Engineer,37300,100,GB,L
387,2022,SE,FT,Data Analyst,164000,0,US,M
388,2022,SE,FT,Data Engineer,155000,100,US,M
389,2022,MI,FT,Machine Learning Engineer,124333,0,GB,M
390,2022,MI,FT,Machine Learning Engineer,98158,0,GB,M
391,2022,MI,FT,AI Scientist,120000,0,US,M
392,2022,SE,FT,Data Analyst,112900,100,US,M
393,2022,SE,FT,Data Analyst,90320,100,US,M
394,2022,SE,FT,Data Analytics Manager,145000,100,US,M
395,2022,SE,FT,Data Analytics Manager,105400,100,US,M
396,2022,MI,FT,Machine Learning Engineer,87932,100,DE,M
397,2022,MI,FT,Data Engineer,117789,0,GB,M
398,2022,SE,FT,Data Scientist,215300,100,US,L
399,2022,SE,FT,Data Scientist,158200,100,US,L
400,2022,SE,FT,Data Engineer,209100,100,US,L
401,2022,SE,FT,Data Engineer,154600,100,US,L
402,2022,SE,FT,Data Analyst,115934,0,US,M
403,2022,SE,FT,Data Analyst,81666,0,US,M
404,2022,SE,FT,Data Engineer,175000,100,US,M
405,2022,MI,FT,Data Engineer,98158,0,GB,M
406,2022,MI,FT,Data Analyst,58000,0,US,S
407,2022,SE,FT,Data Engineer,183600,100,US,L
408,2022,MI,FT,Data Analyst,52351,100,GB,M
409,2022,SE,FT,Data Scientist,180000,100,US,M
410,2022,MI,FT,Data Scientist,71982,0,GB,M
411,2022,MI,FT,Data Scientist,45807,0,GB,M
412,2022,MI,FT,Data Engineer,65949,100,GR,M
413,2022,MI,FT,Data Engineer,49461,100,GR,M
414,2022,MI,FT,Data Engineer,78526,100,GB,M
415,2022,MI,FT,Data Engineer,58894,100,GB,M
416,2022,SE,FT,Data Scientist,260000,100,US,M
417,2022,SE,FT,Data Science Engineer,60000,100,MX,L
418,2022,MI,FT,Data Engineer,63900,0,US,M
419,2022,MI,FT,Machine Learning Scientist,160000,100,US,L
420,2022,MI,FT,Machine Learning Scientist,112300,100,US,L
421,2022,MI,FT,Data Science Manager,241000,100,US,M
422,2022,MI,FT,Data Science Manager,159000,100,US,M
423,2022,SE,FT,Data Scientist,180000,0,US,M
424,2022,SE,FT,Data Scientist,80000,0,US,M
425,2022,MI,FT,Data Engineer,82900,0,US,M
426,2022,SE,FT,Data Engineer,100800,100,US,L
427,2022,MI,FT,Data Engineer,49461,100,ES,M
428,2022,SE,FT,Data Scientist,140400,0,US,L
429,2022,MI,FT,Data Analyst,39263,100,GB,M
430,2022,MI,FT,Data Analyst,43966,100,ES,M
431,2022,MI,FT,Data Analyst,32974,100,ES,M
432,2022,MI,FT,Data Engineer,87932,100,ES,M
433,2022,MI,FT,Data Engineer,76940,100,ES,M
434,2022,MI,FT,Data Engineer,104702,100,GB,M
435,2022,MI,FT,Data Engineer,91614,100,GB,M
436,2022,MI,FT,Data Engineer,65949,100,ES,M
437,2022,MI,FT,Data Engineer,87932,100,GR,M
438,2022,SE,FT,Machine Learning Engineer,189650,0,US,M
439,2022,SE,FT,Machine Learning Engineer,164996,0,US,M
440,2022,MI,FT,Data Analyst,43966,100,GR,M
441,2022,MI,FT,Data Analyst,32974,100,GR,M
442,2022,MI,FT,Data Engineer,98158,100,GB,M
443,2022,MI,FT,Data Engineer,78526,100,GB,M
444,2022,SE,FT,Data Scientist,215300,0,US,L
445,2022,MI,FT,Data Engineer,76940,100,GR,M
446,2022,SE,FT,Data Engineer,209100,100,US,L
447,2022,SE,FT,Data Engineer,154600,100,US,L
448,2022,SE,FT,Data Engineer,180000,100,US,M
449,2022,EN,FT,ML Engineer,21983,100,PT,L
450,2022,SE,FT,Data Engineer,80000,100,US,M
451,2022,MI,FT,Machine Learning Developer,78791,100,CA,M
452,2022,EX,FT,Director of Data Science,196979,50,CA,L
453,2022,MI,FT,Machine Learning Engineer,120000,100,US,S
454,2022,EN,FT,Computer Vision Engineer,125000,0,US,M
455,2022,MI,FT,NLP Engineer,37236,50,US,L
456,2022,SE,FT,Data Engineer,105000,100,US,M
457,2022,SE,FT,Lead Machine Learning Engineer,87932,0,DE,M
458,2022,MI,FT,Business Data Analyst,18442,100,IN,M
459,2022,MI,FT,Data Scientist,31615,100,IN,L
460,2022,MI,FT,Machine Learning Infrastructure Engineer,58255,50,PT,L
461,2022,EN,FT,Financial Data Analyst,100000,50,US,L
462,2022,MI,PT,Data Engineer,54957,50,DE,L
463,2022,EN,FT,Data Scientist,18442,100,IN,M
464,2022,SE,FT,Principal Data Scientist,162674,100,DE,M
465,2022,EN,FT,Data Engineer,120000,100,US,M
466,2022,SE,FT,Research Scientist,144000,50,US,L
467,2022,SE,FT,Data Scientist,104890,100,US,M
468,2022,SE,FT,Data Engineer,100000,100,US,M
469,2022,SE,FT,Data Scientist,140000,100,US,M
470,2022,MI,FT,Data Analyst,135000,100,US,M
471,2022,MI,FT,Data Analyst,50000,100,US,M
472,2022,SE,FT,Data Scientist,220000,100,US,M
473,2022,SE,FT,Data Scientist,140000,100,US,M
474,2022,MI,FT,Data Scientist,183228,0,GB,M
475,2022,MI,FT,Data Scientist,91614,0,GB,M
476,2022,SE,FT,Data Scientist,185100,100,US,M
477,2022,SE,FT,Machine Learning Engineer,220000,100,US,M
478,2022,MI,FT,Data Scientist,200000,100,US,M
479,2022,MI,FT,Data Scientist,120000,100,US,M
480,2022,SE,FT,Machine Learning Engineer,120000,100,AE,S
481,2022,SE,FT,Machine Learning Engineer,65000,100,AE,S
482,2022,EX,FT,Data Engineer,324000,100,US,M
483,2022,EX,FT,Data Engineer,216000,100,US,M
484,2022,SE,FT,Data Engineer,210000,100,US,M
485,2022,SE,FT,Machine Learning Engineer,120000,100,US,M
486,2022,SE,FT,Data Scientist,230000,100,US,M
487,2022,EN,PT,Data Scientist,100000,50,DZ,M
